IdEmpresa,NomeFantasia,DataFechamento,IdConta,CodigoConta,ContaDescricao,ValorPadronizado
7288,3 Tentos Agroindustrial ,31/12/2024,332,3.03,Receita líquida de vendas e/ou serviços,12825771000.0
7288,3 Tentos Agroindustrial ,31/12/2023,332,3.03,Receita líquida de vendas e/ou serviços,8998985000.0
7288,3 Tentos Agroindustrial ,31/12/2024,55,1,Ativo total,8889423000.0
7288,3 Tentos Agroindustrial ,31/12/2022,332,3.03,Receita líquida de vendas e/ou serviços,6885839000.0
7288,3 Tentos Agroindustrial ,31/12/2023,55,1,Ativo total,6883789000.0
7288,3 Tentos Agroindustrial ,31/12/2022,55,1,Ativo total,6081989000.0
7288,3 Tentos Agroindustrial ,31/12/2024,56,1.01,Ativo circulante,5776390000.0
7288,3 Tentos Agroindustrial ,31/12/2023,56,1.01,Ativo circulante,4422008000.0
7288,3 Tentos Agroindustrial ,31/12/2022,56,1.01,Ativo circulante,4257219000.0
7288,3 Tentos Agroindustrial ,31/12/2024,286,2.03,Patrimônio líquido,4045718000.0
7288,3 Tentos Agroindustrial ,31/12/2024,178,2.01,Passivo circulante,3666344000.0
7288,3 Tentos Agroindustrial ,31/12/2023,286,2.03,Patrimônio líquido,3351891000.0
7288,3 Tentos Agroindustrial ,31/12/2024,103,1.02,Ativo não circulante,3113033000.0
7288,3 Tentos Agroindustrial ,31/12/2022,286,2.03,Patrimônio líquido,2818555000.0
7288,3 Tentos Agroindustrial ,31/12/2023,178,2.01,Passivo circulante,2784746000.0
7288,3 Tentos Agroindustrial ,31/12/2022,178,2.01,Passivo circulante,2739186000.0
7288,3 Tentos Agroindustrial ,31/12/2023,103,1.02,Ativo não circulante,2461781000.0
7288,3 Tentos Agroindustrial ,31/12/2022,103,1.02,Ativo não circulante,1824770000.0
7288,3 Tentos Agroindustrial ,31/12/2024,57,1.01.01,Caixa e equivalentes de caixa,1696858000.0
7288,3 Tentos Agroindustrial ,31/12/2024,347,3.07,Resultado antes do resultado financeiro e dos tributos,1245298000.0
7288,3 Tentos Agroindustrial ,31/12/2024,230,2.02,Passivo não circulante,1177361000.0
7288,3 Tentos Agroindustrial ,31/12/2023,57,1.01.01,Caixa e equivalentes de caixa,1028483000.0
7288,3 Tentos Agroindustrial ,31/12/2023,421,6.01,Caixa líquido das atividades operacionais,863505000.0
7288,3 Tentos Agroindustrial ,31/12/2024,375,3.18,Lucro/Prejuízo do período,756395000.0
7288,3 Tentos Agroindustrial ,31/12/2023,230,2.02,Passivo não circulante,747152000.0
7288,3 Tentos Agroindustrial ,31/12/2024,421,6.01,Caixa líquido das atividades operacionais,726212000.0
7288,3 Tentos Agroindustrial ,31/12/2022,57,1.01.01,Caixa e equivalentes de caixa,724314000.0
7288,3 Tentos Agroindustrial ,31/12/2023,375,3.18,Lucro/Prejuízo do período,573802000.0
7288,3 Tentos Agroindustrial ,31/12/2022,375,3.18,Lucro/Prejuízo do período,571174000.0
7288,3 Tentos Agroindustrial ,31/12/2022,347,3.07,Resultado antes do resultado financeiro e dos tributos,537651000.0
7288,3 Tentos Agroindustrial ,31/12/2022,230,2.02,Passivo não circulante,524248000.0
7288,3 Tentos Agroindustrial ,31/12/2024,473,6.03,Caixa líquido das atividades de financiamento,465459000.0
7288,3 Tentos Agroindustrial ,31/12/2023,347,3.07,Resultado antes do resultado financeiro e dos tributos,441690000.0
7288,3 Tentos Agroindustrial ,31/12/2022,421,6.01,Caixa líquido das atividades operacionais,257697000.0
7288,3 Tentos Agroindustrial ,31/12/2023,73,1.01.04,Aplicações financeiras,197451000.0
7288,3 Tentos Agroindustrial ,31/12/2022,473,6.03,Caixa líquido das atividades de financiamento,154975000.0
7288,3 Tentos Agroindustrial ,31/12/2022,73,1.01.04,Aplicações financeiras,154841000.0
7288,3 Tentos Agroindustrial ,31/12/2024,73,1.01.04,Aplicações financeiras,75404000.0
